date,avg_hourly_earnings,cpi_all_items,cpi_core,cpi_energy,cpi_food,cpi_shelter,epop,lfpr,unemp_rate,headline_yoy_pct,core_yoy_pct,energy_yoy_pct,food_yoy_pct,shelter_yoy_pct,wage_yoy_pct,headline_minus_core_yoy
2015-01-01,24.74,234.747,239.811,199.926,245.764,274.762,59.3,62.9,5.7,,,,,,,
2015-02-01,24.79,235.342,240.172,203.021,246.056,275.47,59.2,62.7,5.5,,,,,,,
2015-03-01,24.85,235.976,240.755,205.757,245.685,276.258,59.2,62.6,5.4,,,,,,,
2015-04-01,24.89,236.222,241.346,203.577,245.615,277.003,59.3,62.8,5.4,,,,,,,
2015-05-01,24.97,237.001,241.688,208.973,245.886,277.524,59.4,62.9,5.6,,,,,,,
2015-06-01,24.97,237.657,242.064,212.015,246.511,278.284,59.4,62.7,5.3,,,,,,,
2015-07-01,25.01,238.034,242.565,211.623,246.733,279.329,59.3,62.6,5.2,,,,,,,
2015-08-01,25.1,238.033,242.817,208.579,247.295,279.921,59.4,62.6,5.1,,,,,,,
2015-09-01,25.11,237.498,243.316,197.246,247.984,280.737,59.2,62.4,5.0,,,,,,,
2015-10-01,25.2,237.733,243.768,195.616,248.288,281.429,59.3,62.5,5.0,,,,,,,
2015-11-01,25.25,238.017,244.241,195.114,248.075,282.129,59.4,62.5,5.1,,,,,,,
2015-12-01,25.25,237.761,244.547,190.143,247.761,282.779,59.6,62.7,5.0,,,,,,,
2016-01-01,25.37,237.652,244.955,185.235,247.967,283.714,59.7,62.7,4.8,1.2375025026943876,2.145022538582464,-7.3482188409711435,0.8963884051366389,3.2580924582001902,2.546483427647539,-0.9075200358880764
2016-02-01,25.38,237.336,245.51,176.401,248.244,284.502,59.8,62.8,4.9,0.8472775790126619,2.222573822094165,-13.11194408460208,0.8892284683161611,3.2787599375612597,2.3799919322307295,-1.375296243081503
2016-03-01,25.45,238.08,245.913,182.234,247.699,285.122,59.8,63.0,5.0,0.8916160965521946,2.142426948557663,-11.43241785212653,0.8197488654171137,3.208594864221137,2.4144869215291687,-1.2508108520054684
2016-04-01,25.53,238.992,246.551,186.713,247.906,285.853,59.7,62.9,5.1,1.1726257503534843,2.156654761214183,-8.283843459722862,0.9327606212975681,3.194911246448595,2.5713137806347985,-0.9840290108606986
2016-05-01,25.58,239.557,247.137,188.596,247.575,286.855,59.7,62.7,4.8,1.0784764621246223,2.2545595974976074,-9.751020466758863,0.6869036870744916,3.3622317349130126,2.4429315178213784,-1.176083135372985
2016-06-01,25.62,240.222,247.54,192.899,247.42,287.819,59.7,62.7,4.9,1.0792865347959424,2.2622116465067066,-9.01634318326533,0.3687462222781157,3.426355809173365,2.603123748498204,-1.1829251117107642
